BA201|Financial Accounting|Planita, Cynthia|This course is designed to provide students with fundamental exposure to the steps in the accounting cycle leading up to the preparation and analysis of financial statements.  The focus of the course is on how accounting provides information to users so they can then make more informed decisions. Specific topics include asset and equity measurement, income determination, cash flow and working capital.
BA202|Managerial Accounting|Planita, Cynthia|Continuation of BA201 and an introduction to the use of accounting information for managerial decision-making. Topics include cost accounting systems, budgeting, decision-making information and performance reporting. Prerequisite: BA201 or equivalent.
BA260|Principles of Management|Nolan, Margaret|This course explores the four management functions of planning, organizing, leading and controlling to create competitive and sustainable organizations in a global environment. Key course concepts include strategic planning, decision-making, organizational structures, managing change and innovation, human resources, ethics, corporate social responsibility, leadership, motivation, team-building, and quality control.
BA340|Principles of Marketing|Kurthakoti, Raghu|Examination and analysis of marketing management in the modern organization. Basic marketing concepts, including a target market and the four P's - product, price, place and promotion are covered. Evaluates the marketing manager's task in relation to the strategic and economic goals of the organization and in terms of environmental factors, including the international milieu. Prerequisites: EC211 and junior standing.
BA363|International Organizational Behavior|Nolan, Margaret|Application of psychological principles to human relationships within an enterprise. Studies the dynamics of intrapersonal and interpersonal relationships, emphasizing the manager's leadership role in utilizing and developing human resources. Includes motivation, interpersonal
BA367|Operations Management|deLhery, Michael|Study of the selection, design, control and updating of systems concerned with providing goods or services. Emphasizes quantitative tools and techniques for dealing with system problems. Includes program management, statistical quality control, inventory control, process optimization, global supply chain, queuing theory, material requirements planning and enterprise resource planning. Prerequisites: Junior standing, MA/PY141, and either MA145 or 201/207.
BA380|Principles of Finance|Li, Bochen|(3 credits; Fall, Spring, Summer)  Introduction to corporate finance stressing the management approach as it applies to asset management and capital structure. Emphasizes capital budgeting, capital structure and working capital management, and sources of funds.  Illustrates basic principles through a problem solving approach.
BA580|Shareholder Value Management|Brinker, Thomas|This course is designed to help the student understand the role of managerial accounting in creating value for the organization.  It shows how the internally generated accounting information is used as a basis for managerial decision-making.  Topics covered will include the balanced scorecard, activity-based costing system, performance evaluation and cost-volume-profit analysis.  The course also emphasizes how management planning and control can have behavioral (social) and ethical implications on the organization and the individuals involved.
BA600|Leadership for Effective Organizations|Nolan, Margaret|Studies the role that leadership plays in organizational success, with a focus on the importance of emotional intelligence in inspiring and motivating others.  Explores the neuroscience research on the role of emotions in leadership behavior.  Examines different organizational structures and frameworks with a focus on how leadership adapts to be successful in different organizations.There will be a significant focus on individual leadership where students will identify their own leadership aspirations, behaviors and styles.
BA670A|International Business Experience|Nolan, Margaret|BA 670 International Business Experiences A
BA670B|International Business Experience|Halpin, Annette|BA 670 International Business Experiences B
BA695|Global Strategic Management|Halpin, Annette|This capstone course will focus on the strategic management process and current practices of managers of multinational corporations. Various dimensions of decision-making will be considered with a focus on production, marketing, and financial issues. Students will gain an understanding of strategies suitable for conducting business in developing and developed economies by integrating their two international experiences and earlier coursework within the framework of theories and issues in strategic management. (2 credits)
BI101|General Biology I|Daley, John|Introduction to the science of living organisms. Emphasis on molecular and cellular aspects of energy processing, cell reproduction and genetics. Lecture content will be online and asynchronous, and lecture exams will be held one day per week (TBD), and administered through Canvas quizzes or other online resources.
BI101|General Biology I|Daley, John|Introduction to the science of living organisms. Emphasis on molecular and cellular aspects of energy processing, cell reproduction and genetics. Lecture content will be online and asynchronous, and lecture exams will be held one day per week (TBD), and administered through Canvas quizzes or other online resources.
BI101L|Lab|Daley, John|Introduction to the science of living organisms. Emphasis on molecular and cellular aspects of energy processing, cell reproduction and genetics. Laboratory lecture/demonstration content will be online and asynchronous.  Quizzes (TBD), will be administered through Canvas quizzes or other online resources
BI101L|Lab|Daley, John|Introduction to the science of living organisms. Emphasis on molecular and cellular aspects of energy processing, cell reproduction and genetics. Laboratory lecture/demonstration content will be online and asynchronous.  Quizzes (TBD), will be administered through Canvas quizzes or other online resources
BI102|General Biology II|Phillips, Naomi|Overview of kingdoms with emphasis on structure and function of plants and animals with consideration of population biology and ecology. Lecture content will be online, organized into self-paced modules, and asynchronous. Weekly lecture exams based on each module will be held one day per week (TBD), and administered through Canvas quizzes or other online resources
BI102|General Biology II|Phillips, Naomi|Overview of kingdoms with emphasis on structure and function of plants and animals with consideration of population biology and ecology. Lecture content will be online, organized into self-paced modules, and asynchronous. Weekly lecture exams based on each module will be held one day per week (TBD), and administered through Canvas quizzes or other online resources
BI102L|Lab|Staff, BI|Overview of kingdoms with emphasis on structure and function of plants and animals with consideration of population biology and ecology. Laboratory lecture/demonstration content will be online and asynchronous.  Quizzes (TBD), will be administered through Canvas Quizzes or other online resources.
BI102L|Lab|Wright, Megan|Overview of kingdoms with emphasis on structure and function of plants and animals with consideration of population biology and ecology. Laboratory lecture/demonstration content will be online and asynchronous.  Quizzes (TBD), will be administered through Canvas Quizzes or other online resources.
BI216|Medical Terminology|Wright, Megan|This course provides an introduction to the etymology of medical terms, organized by body system. Emphasis is placed on the building and analysis of terms as well as combining forms, prefixes, and suffixes to develop a broad vocabulary. The course includes review of medical terms for the organ systems, common pathologies, signs and symptoms, diagnostic tests, and treatment procedures.
BI340|Biochemistry|Smith, Sheryl|This course introduces students to the basic concepts in biochemistry through lecture and problem sets. A biomedical perspective is used throughout. Students learn the basic principles governing the structure and function of biochemical systems.
BI340|Biochemistry|Smith, Sheryl|This course provides an overview of the principles of biochemistry pertaining to molecular interactions that govern biological processes in living organisms. This includes structure/function relationships of the major classes of biomolecules with an emphasis on proteins, including non-enzymatic and enzymatic protein function, kinetics, and regulation. The major metabolic pathways and the regulation of these pathways will also be examined as well as the thermodynamic principles governing molecular stability, interaction, assembly, and energy flow within the cell. The genetic foundations of biochemistry will be explored to demonstrate information transfer and storage, as well as to elucidate molecular mechanisms underlying human disease.
BI340L|Lab|Smith, Sheryl|No description provided
CH101|General Chemistry I|Billmers, Elizabeth|Introduction to the principles of atomic structure, chemical bonding, states of matter, stereochemistry and their relation to the properties of selected inorganic and organic substances. Presents the historical development, methodology and philosophy of our current understanding of transformations of matter and energy from an experimental viewpoint. Three class hours and three laboratory hours weekly. Prerequisite: CH100 or placement exam.
CH101L|Lab|Billmers, Elizabeth|No description provided
CH102|General Chemistry II|Billmers, Elizabeth|Continuation of CH 101. Introduces the principles of chemical energetics, chemical equilibrium, reaction mechanisms, chemical kinetics, electrochemistry and radiation chemistry. Applies chemical principles to the reaction of inorganic and organic substances from a quantitative experimental point of view. Three class hours and three laboratory hours weekly. Prerequisite: CH101.
CH102L|Lab|Billmers, Elizabeth|No description provided
CH201|Org Chem I: Struc, Mech & Reactions|Mascavage, Linda|Study of the correlation of acid-base theory, reaction mechanisms, molecular structure, chemical energetics and spectroscopy to the chemical and physical properties of organic functional groups. Chemistry and Physics. Laboratory work stresses the synthesis, separation, identification and analysis of selected organic compounds using both micro- and macroscale techniques. Three class hours and three laboratory hours weekly. Prerequisite: CH102; or permission of the department chair.
CH201L|Lab|Mascavage, Linda|Study of the correlation of acid-base theory, reaction mechanisms, molecular structure, chemical energetics and spectroscopy to the chemical and physical properties of organic functional groups. Chemistry and Physics  130 Laboratory work stresses the synthesis, separation, identification and analysis of selected organic compounds using both micro- and macroscale techniques.. Three class hours and three laboratory hours weekly. Prerequisite: CH102; or permission of the department chair.
CH201L|Lab|Mascavage, Linda|Study of the correlation of acid-base theory, reaction mechanisms, molecular structure, chemical energetics and spectroscopy to the chemical and physical properties of organic functional groups. Chemistry and Physics  130 Laboratory work stresses the synthesis, separation, identification and analysis of selected organic compounds using both micro- and macroscale techniques.. Three class hours and three laboratory hours weekly. Prerequisite: CH102; or permission of the department chair.
CH202|Org Chem II: Struc, Mech & Reactions|Cross, Jason|Study of the correlation of acid-base theory, reaction mechanisms, molecular structure, chemical energetics and spectroscopy to the chemical and physical properties of organic functional groups.Laboratory work stresses the synthesis, separation, identification and analysis of selected organic compounds using both micro- and macroscale techniques. Three class hours and three laboratory hours weekly. Prerequisite: CH102; or permission of the department chair.
CH202L|Lab|Cross, Jason|No description provided
CJ160|Crime & Punishment|Revier, Kevin|This introduction to various aspects of the criminal justice system includes law enforcement, the judicial process, and corrections and punishment. It also surveys sociological understanding of deviant and criminal behavior and of the historical changes in why and how we punish those who violate the law.
CJ160|Crime & Punishment|Crehan, Margaret|This introduction to various aspects of the criminal justice system includes law enforcement, the judicial process, and corrections and punishment. It also surveys sociological understanding of deviant and criminal behavior and of the historical changes in why and how we punish those who violate the law.
CJ220|Fear, Crime, & Media|Revier, Kevin|"Fear is defined by psychologists as an ""intense emotion aroused by the detection of imminent threat.""  While deeply felt on an individual level, fear is also a culturally shared emotion.  Indeed, researchers have considered a ""culture of fear"" in which a sense of fear, insecurity and risk shapes everyday interaction.  It is perhaps no wonder, given mass media images of danger - of killer clowns, drug ""zombies"", cyber stalkers, kidnapping strangers, serial killers, and juvenile superpredators.  How is fear constructed in the media? What are the consequences of such representation - for community, consumerism, and criminal justice? In this course, we adopt theory in criminology and sociology to study the construction of fear in the media and consequences thereof.  We utilize various methods including media/visual analysis coupled with survey, interview, and ethnography.  As fear is embedded in representations of crime - and informs public concerns, entertainment, and punishment - analyzing fear is important for understanding contemporary social inequality and for broader social change."
CJ300|Race,Crime&Justice|Guertin-Martin, Favian|This course examines historical and contemporary criminological theories and research on nexus between race and crime. In addition, this course will also provide an overview of the contemporary responses to race and crime in the United States as well as abroad. To understand the connection between race and crime, this course will draw on both scholarly research and popular culture to develop a critical understanding of social inequality with respect to minority involvement in the criminal justice system.
